Run,Phase,Block,Trial,Object,Pos,Con,ObjectCategory,Onset,Duration,Response,RT,isCorrect
1,learning,1,1,10,5,3,human_face,,,0,0,0
1,learning,1,2,9,5,1,human_body,,,0,0,0
1,learning,1,3,4,2,4,animal_face,,,0,0,0
1,learning,1,4,7,4,1,human_body,,,0,0,0
1,learning,1,5,11,6,2,animal_body,,,0,0,0
1,learning,1,6,12,6,4,plants,,,0,0,0
1,learning,1,7,6,3,2,lifeless,,,0,0,0
1,learning,1,8,3,2,3,plants,,,0,0,0
1,learning,1,9,5,3,3,human_face,,,0,0,0
1,learning,1,10,2,1,2,animal_body,,,0,0,0
1,learning,1,11,8,4,4,lifeless,,,0,0,0
1,learning,1,12,1,1,1,animal_face,,,0,0,0
1,retrieval,1,1,10,5,3,human_face,,,0,0,0
1,retrieval,1,2,1,1,1,animal_face,,,0,0,0
1,retrieval,1,3,4,2,4,animal_face,,,0,0,0
1,retrieval,1,4,5,3,3,human_face,,,0,0,0
1,retrieval,1,5,6,3,2,lifeless,,,0,0,0
1,retrieval,1,6,8,4,4,lifeless,,,0,0,0
1,retrieval,1,7,3,2,3,plants,,,0,0,0
1,retrieval,1,8,2,1,2,animal_body,,,0,0,0
1,retrieval,1,9,12,6,4,plants,,,0,0,0
1,retrieval,1,10,7,4,1,human_body,,,0,0,0
1,retrieval,1,11,11,6,2,animal_body,,,0,0,0
1,retrieval,1,12,9,5,1,human_body,,,0,0,0
1,test1,1,1,10,5,3,human_face,,,NaN,NaN,NaN
1,test1,1,2,1,1,1,animal_face,,,NaN,NaN,NaN
1,test1,1,3,4,2,4,animal_face,,,NaN,NaN,NaN
1,test1,1,4,5,3,3,human_face,,,NaN,NaN,NaN
1,test1,1,5,6,3,2,lifeless,,,NaN,NaN,NaN
1,test1,1,6,8,4,4,lifeless,,,NaN,NaN,NaN
1,test1,1,7,3,2,3,plants,,,NaN,NaN,NaN
1,test1,1,8,2,1,2,animal_body,,,NaN,NaN,NaN
1,test1,1,9,12,6,4,plants,,,NaN,NaN,NaN
1,test1,1,10,7,4,1,human_body,,,NaN,NaN,NaN
1,test1,1,11,11,6,2,animal_body,,,NaN,NaN,NaN
1,test1,1,12,9,5,1,human_body,,,NaN,NaN,NaN
1,test2,1,1,10,5,3,human_face,,,NaN,NaN,NaN
1,test2,1,2,1,1,1,animal_face,,,NaN,NaN,NaN
1,test2,1,3,4,2,4,animal_face,,,NaN,NaN,NaN
1,test2,1,4,5,3,3,human_face,,,NaN,NaN,NaN
1,test2,1,5,6,3,2,lifeless,,,NaN,NaN,NaN
1,test2,1,6,8,4,4,lifeless,,,NaN,NaN,NaN
1,test2,1,7,3,2,3,plants,,,NaN,NaN,NaN
1,test2,1,8,2,1,2,animal_body,,,NaN,NaN,NaN
1,test2,1,9,12,6,4,plants,,,NaN,NaN,NaN
1,test2,1,10,7,4,1,human_body,,,NaN,NaN,NaN
1,test2,1,11,11,6,2,animal_body,,,NaN,NaN,NaN
1,test2,1,12,9,5,1,human_body,,,NaN,NaN,NaN
1,learning,2,1,1,4,2,animal_face,,,0,0,0
1,learning,2,2,6,2,1,lifeless,,,0,0,0
1,learning,2,3,8,5,2,lifeless,,,0,0,0
1,learning,2,4,10,4,1,human_face,,,0,0,0
1,learning,2,5,5,6,2,human_face,,,0,0,0
1,learning,2,6,4,3,3,animal_face,,,0,0,0
1,learning,2,7,2,6,3,animal_body,,,0,0,0
1,learning,2,8,7,1,3,human_body,,,0,0,0
1,learning,2,9,11,3,4,animal_body,,,0,0,0
1,learning,2,10,12,1,1,plants,,,0,0,0
1,learning,2,11,3,5,4,plants,,,0,0,0
1,learning,2,12,9,2,4,human_body,,,0,0,0
1,retrieval,2,1,3,5,4,plants,,,0,0,0
1,retrieval,2,2,12,1,1,plants,,,0,0,0
1,retrieval,2,3,2,6,3,animal_body,,,0,0,0
1,retrieval,2,4,1,4,2,animal_face,,,0,0,0
1,retrieval,2,5,9,2,4,human_body,,,0,0,0
1,retrieval,2,6,7,1,3,human_body,,,0,0,0
1,retrieval,2,7,11,3,4,animal_body,,,0,0,0
1,retrieval,2,8,4,3,3,animal_face,,,0,0,0
1,retrieval,2,9,5,6,2,human_face,,,0,0,0
1,retrieval,2,10,8,5,2,lifeless,,,0,0,0
1,retrieval,2,11,10,4,1,human_face,,,0,0,0
1,retrieval,2,12,6,2,1,lifeless,,,0,0,0
1,test1,2,1,3,5,4,plants,,,NaN,NaN,NaN
1,test1,2,2,12,1,1,plants,,,NaN,NaN,NaN
