Run,Phase,Block,Trial,Object,Pos,Con,ObjectCategory,Onset,Duration,Response,RT,isCorrect
2,test2,2,6,1,4,1,animal_face,,,NaN,NaN,NaN
2,test2,2,7,5,6,3,human_face,,,NaN,NaN,NaN
2,test2,2,8,9,2,1,human_body,,,NaN,NaN,NaN
2,test2,2,9,4,3,4,animal_face,,,NaN,NaN,NaN
2,test2,2,10,2,6,2,animal_body,,,NaN,NaN,NaN
2,test2,2,11,12,1,4,plants,,,NaN,NaN,NaN
2,test2,2,12,10,4,3,human_face,,,NaN,NaN,NaN
2,learning,3,1,11,3,4,animal_body,,,0,0,0
2,learning,3,2,8,5,2,lifeless,,,0,0,0
2,learning,3,3,7,1,3,human_body,,,0,0,0
2,learning,3,4,1,4,2,animal_face,,,0,0,0
2,learning,3,5,6,2,1,lifeless,,,0,0,0
2,learning,3,6,3,5,4,plants,,,0,0,0
2,learning,3,7,5,6,2,human_face,,,0,0,0
2,learning,3,8,12,1,1,plants,,,0,0,0
2,learning,3,9,2,6,3,animal_body,,,0,0,0
2,learning,3,10,9,2,4,human_body,,,0,0,0
2,learning,3,11,10,4,1,human_face,,,0,0,0
2,learning,3,12,4,3,3,animal_face,,,0,0,0
2,retrieval,3,1,2,6,3,animal_body,,,0,0,0
2,retrieval,3,2,10,4,1,human_face,,,0,0,0
2,retrieval,3,3,7,1,3,human_body,,,0,0,0
2,retrieval,3,4,3,5,4,plants,,,0,0,0
2,retrieval,3,5,8,5,2,lifeless,,,0,0,0
2,retrieval,3,6,9,2,4,human_body,,,0,0,0
2,retrieval,3,7,12,1,1,plants,,,0,0,0
2,retrieval,3,8,6,2,1,lifeless,,,0,0,0
2,retrieval,3,9,1,4,2,animal_face,,,0,0,0
2,retrieval,3,10,5,6,2,human_face,,,0,0,0
2,retrieval,3,11,4,3,3,animal_face,,,0,0,0
2,retrieval,3,12,11,3,4,animal_body,,,0,0,0
2,test1,3,1,2,6,3,animal_body,,,NaN,NaN,NaN
2,test1,3,2,10,4,1,human_face,,,NaN,NaN,NaN
2,test1,3,3,7,1,3,human_body,,,NaN,NaN,NaN
2,test1,3,4,3,5,4,plants,,,NaN,NaN,NaN
