run_id,block_id,stim_type,trial_id,stim,cond,cresp
1,1,word,1,1,filler,none
1,1,word,2,2,filler,none
1,1,word,3,3,diff,diff
1,1,word,4,1,lure,diff
1,1,word,5,3,same,same
1,1,word,6,4,diff,diff
1,1,word,7,5,diff,diff
1,1,word,8,4,same,same
1,1,word,9,6,diff,diff
1,1,word,10,5,lure,diff
1,2,word,1,6,filler,none
1,2,word,2,7,filler,none
1,2,word,3,7,lure,diff
1,2,word,4,8,diff,diff
1,2,word,5,9,diff,same
1,2,word,6,8,same,same
1,2,word,7,9,same,same
1,2,word,8,2,diff,diff
1,2,word,9,10,diff,diff
1,2,word,10,10,lure,diff
1,3,object,1,41,filler,none
1,3,object,2,42,filler,none
1,3,object,3,42,lure,diff
1,3,object,4,41,lure,diff
1,3,object,5,43,diff,diff
1,3,object,6,44,diff,diff
1,3,object,7,43,same,same
1,3,object,8,44,same,same
1,3,object,9,45,diff,diff
1,3,object,10,45,lure,diff
1,4,place,1,21,filler,none
1,4,place,2,22,filler,none
1,4,place,3,23,diff,diff
1,4,place,4,22,same,same
1,4,place,5,24,diff,diff
1,4,place,6,23,lure,diff
1,4,place,7,24,same,same
1,4,place,8,26,diff,diff
1,4,place,9,25,diff,diff
1,4,place,10,26,same,same
1,5,place,1,27,filler,none
1,5,place,2,21,filler,none
1,5,place,3,27,same,same
1,5,place,4,29,diff,diff
1,5,place,5,25,diff,diff
1,5,place,6,28,diff,diff
1,5,place,7,29,lure,diff
1,5,place,8,30,diff,diff
1,5,place,9,28,lure,diff
1,5,place,10,30,same,same
1,6,face,1,11,filler,none
1,6,face,2,12,filler,none
1,6,face,3,12,lure,diff
1,6,face,4,13,diff,diff
1,6,face,5,13,lure,diff
1,6,face,6,14,diff,diff
1,6,face,7,15,diff,diff
1,6,face,8,14,same,same
1,6,face,9,15,same,same
1,6,face,10,16,diff,diff
1,7,face,1,18,filler,none
1,7,face,2,16,filler,none
1,7,face,3,17,diff,diff
1,7,face,4,18,lure,diff
1,7,face,5,17,same,same
1,7,face,6,11,diff,diff
1,7,face,7,19,diff,diff
1,7,face,8,20,diff,diff
1,7,face,9,19,same,same
1,7,face,10,20,same,same
1,8,object,1,35,filler,none
1,8,object,2,36,filler,none
1,8,object,3,32,diff,diff
1,8,object,4,36,same,same
1,8,object,5,31,diff,diff
1,8,object,6,31,lure,diff
1,8,object,7,34,diff,diff
1,8,object,8,33,diff,diff
1,8,object,9,34,same,same
1,8,object,10,33,same,same
1,9,object,1,32,filler,none
1,9,object,2,37,filler,none
1,9,object,3,38,diff,diff
1,9,object,4,37,same,same
1,9,object,5,39,diff,diff
1,9,object,6,38,lure,diff
1,9,object,7,39,same,same
1,9,object,8,40,diff,diff
1,9,object,9,35,diff,diff
1,9,object,10,40,same,same
1,10,word,1,11,filler,none
1,10,word,2,12,filler,none
1,10,word,3,12,lure,diff
1,10,word,4,13,diff,diff
1,10,word,5,13,lure,diff
